LINEA|1|1. DESARROLLO INTEGRAL DE LA ORGANIZACI&Oacute;N|
PROYECTO|1.1|SOFTWARE INTEGRAL|
ACCION|1.1.1|Nuevo software administrativo y financiero ERP|1000
ACCION|1.1.2|Automatizaci&oacute;n e integraci&oacute;n de procesos cr&iacute;ticos|1000
PROYECTO|1.2|DESARROLLO E INNOVACI&Oacute;N DE LAS TICS|
ACCION|1.2.1|Gesti&oacute;n de las aplicaciones|1000
ACCION|1.2.2|Gesti&oacute;n de la insfraestructura de las tics|1000
ACCION|1.2.3|Gesti&oacute;n de la seguridad de las tics|1000
ACCION|1.2.4|Gesti&oacute;n de innovaci&oacute;n tecnol&oacute;gica|1000
PROYECTO|1.3|SISTEMA DE GESTI&Oacute;N INTEGRAL|
ACCION|1.3.1|Gesti&oacute;n de control interno|7000
ACCION|1.3.2|Gesti&oacute;n calidad|7000
ACCION|1.3.3|Gestion de la Informacion Contable y Financiera|8000
ACCION|1.3.4|Gestion Documental|8000
PROYECTO|1.4|AMBIENTE LABORAL DESDE LOS RECURSOS F&Iacute;SICOS|
ACCION|1.4.1|Desarrollo institucional|8000
ACCION|1.4.2|Salud ocupacional|8000
PROYECTO|1.5|LA MEJOR EMPRESA PARA TRABAJAR|
ACCION|1.5.1|Bienestar social|8000
ACCION|1.5.2|Voluntariado|8000
PROYECTO|1.6|EQUIPOS DE ALTO DESEMPE&Ntilde;O|
ACCION|1.6.1|Equipos de alto desempe&ntilde;o|8000
ACCION|1.6.2|Entrenamiento|8000
PROYECTO|1.7|BUENAS PRACTICAS DE GOBIERNO CORPORATIVO|
ACCION|1.7.1|Gobierno corporativo interno|7000
LINEA|2|2. SERVICIO AL CLIENTE Y MERCADEO|
PROYECTO|2.1|SERVICIO AL CLIENTE|
ACCION|2.1.1|Servicio al cliente|1000
PROYECTO|2.2|COMUNICACI&Oacute;N EXTERNA E INTERNA|
ACCION|2.2.1|Comunicaci&oacute;n interna|7000
ACCION|2.2.2|Medios electr&oacute;nicos|7000
ACCION|2.2.3|Medalla de honor al m&eacute;rito|7000
PROYECTO|2.3|ESTRATEGIA DE MERCADEO|
ACCION|2.3.1|Campa&ntilde;a de publicidad|1000
ACCION|2.3.2|Medios de comunicaci&oacute;n|1000
LINEA|3|3. GESTI&Oacute;N DEL CONOCIMIENTO Y LA INNOVACI&Oacute;N|
PROYECTO|3.1|GESTI&Oacute;N DEL CONOCIMIENTO|
ACCION|3.1.1|Gesti&oacute;n del conocimiento|7000
PROYECTO|3.2|INNOVACI&Oacute;N|
ACCION|3.2.1|Sistema de innovaci&oacute;n|7000
LINEA|4|4. PROGRAMAS PARA LA COMPETITIVIDAD|
PROYECTO|4.1|REPRESENTATIVIDAD EMPRESARIAL|
ACCION|4.1.1|Representatividad empresarial|7000
ACCION|4.1.2|Elecciones de Junta Directiva|7000
ACCION|4.1.3|Revision Planeacion Estrategica|7000
ACCION|4.1.4|Asamblea Confecamaras|7000
PROYECTO|4.3|COMPETITIVIDAD EMPRESARIAL|
ACCION|4.3.1|Competitividad empresarial|5000
PROYECTO|4.4|EMPRENDIMIENTO|
ACCION|4.4.1|Risaralda Emprende.|5000
ACCION|4.4.2|Capacitaci&oacute;n y formaci&oacute;n|5000
ACCION|4.4.3|Apoyo empresarial|5000
ACCION|4.4.4|Expocamello|5000
ACCION|4.4.5|Innovaci&oacute;n y Dinamizaci&oacute;n|5000
PROYECTO|4.5|INTERNACIONALIZACI&Oacute;N |
ACCION|4.5.1|Comercio exterior|6000
ACCION|4.5.2|Formaci&oacute;n y capacitaci&oacute;n|6000
ACCION|4.5.3|Promoci&oacute;n exterior|6000
ACCION|4.5.4|Relaciones internacionales|6000
ACCION|4.5.5|Rutas Paisaje Cultural Cafetero|5000
PROYECTO|4.6|PROYECTOS|
ACCION|4.6.1|Proyectos|5000
ACCION|4.6.2|Centro de convenciones|6000
PROYECTO|4.7|MUNICIPIOS|
ACCION|4.7.1|Atenci&oacute;n en municipios|5000
PROYECTO|4.8|INFORMACI&Oacute;N SOCIOECON&Oacute;MICA|
ACCION|4.8.1|Informaci&oacute;n socioecn&oacute;mica|4000
LINEA|5|5. CUMPLIMIENTO DE LAS FUNCIONES LEGALES|
PROYECTO|5.1|REGISTROS P&Uacute;BLICOS|
ACCION|5.1.1|Formalizaci&oacute;n de comerciantes|1000
ACCION|5.1.2|Renovaci&oacute;n de comerciantes|1000
ACCION|5.1.3|Renovaci&oacute;n de proponentes|1000
ACCION|5.1.4|Manejo de los registros|1000
ACCION|5.1.5|Funcionamiento Registros|1000
ACCION|5.1.6|Migraci&oacute;n sistema registral Confecamaras|1000
PROYECTO|5.2|FUNCIONAMIENTO DEL CAE|
ACCION|5.2.1|CAE Pereira|1000
ACCION|5.2.2|CAE Cuba|1000
PROYECTO|5.3|REGISTRO EN MUNICIPIOS|
ACCION|5.3.1|Sede La Virgin&iacute;a|1000
ACCION|5.3.2|Sede Bel&eacute;n de Umbr&iacute;a|1000
ACCION|5.3.3|Municipios de la jurisdicci&oacute;n|1000
ACCION|5.3.4|Sede Marsella|1000
